old_species,new_species
Artemisiafrigida,Artemisia frigida
Boutelouagracilis,Bouteloua gracilis
Carexeleocharis,Carex eleocharis
Comandraumbellata,Comandra umbellata
Heterothecavillosa,Heterotheca villosa
Koeleriapyramidata,Koeleria pyramidata
Pascopyrumsmithii,Pascopyrum smithii
Stipacomata,Stipa comata
Mertensialanceolata,Mertensia lanceolata
Phloxhoodii,Phlox hoodii
Gauracoccinea,Gaura coccinea
Lesquerellamontana,Lesquerella montana
Sphaeralceacoccinea,Sphaeralcea coccinea
Alliumtextile,Allium textile
Lygodesmiajuncea,Lygodesmia juncea
Penstemonalbidus,Penstemon albidus
Cirsiumundulatum,Cirsium undulatum
Musineondivaricatum,Musineon divaricatum
Tragopogondubius,Tragopogon dubius
Vulpiaoctoflora,Vulpia octoflora
Plantagopatagonica,Plantago patagonica
Lappularedowskii,Lappula redowskii
Lepidiumdensiflorum,Lepidium densiflorum
Linariadalmatica,Linaria dalmatica
Lactucaserriola,Lactuca serriola
Erigeronpumilus,Erigeron pumilus
Achilleamillefolium,Achillea millefolium
Ambrosiapsilostachya,Ambrosia psilostachya
Aristidapurpurea,Aristida purpurea
Asterericoides,Aster ericoides
Boutelouacurtipendula,Bouteloua curtipendula
Bromusjaponicus,Bromus japonicus
Oxalisstricta,Oxalis stricta
Poapratensis,Poa pratensis
Psoraleatenuiflora,Psoralea tenuiflora
Sporobolusasper,Sporobolus asper
Kuhniaeupatorioides,Kuhnia eupatorioides
Opuntiapolyacantha,Opuntia polyacantha
Schizachyriumscoparium,Schizachyrium scoparium
Erysimumasperum,Erysimum asperum
Melilotusofficinalis,Melilotus officinalis
Buchloedactyloides,Buchloe dactyloides
Andropogonternarius,Andropogon ternarius
Liatrispunctata,Liatris punctata
Sileneantirrhina,Silene antirrhina
Gutierreziasarothrae,Gutierrezia sarothrae
Senecioplattensis,Senecio plattensis
Hedeomahispida,Hedeoma hispida
Astragaluscrassicarpus,Astragalus crassicarpus
Ratibidacolumnifera,Ratibida columnifera
Medicagolupulina,Medicago lupulina
Andropogongerardii,Andropogon gerardii
Asclepiasverticillata,Asclepias verticillata
Carexbrevior,Carex brevior
Carexheliophila,Carex heliophila
Carexmeadii,Carex meadii
Dichantheliumoligosanthes,Dichanthelium oligosanthes
Euphorbianutans,Euphorbia nutans
Sorghastrumnutans,Sorghastrum nutans
Ruelliahumilis,Ruellia humilis
Physalispumila,Physalis pumila
Amorphacanescens,Amorpha canescens
Echinocereusviridiflorus,Echinocereus viridiflorus
Elymuselymoides,Elymus elymoides
Ipomopsislaxiflora,Ipomopsis laxiflora
Oenotherasp.,Oenothera sp.
Salsolatragus,Salsola tragus
Machaerantheratanacetifolia,Machaeranthera tanacetifolia
Sporobolussp.,Sporobolus sp.
Euphorbiaexstipulata,Euphorbia exstipulata
Muhlenbergiaarenicola,Muhlenbergia arenicola
Chamaesycelata,Chamaesyce lata
Hoffmannseggiadrepanocarpa,Hoffmannseggia drepanocarpa
Chamaesyceserrula,Chamaesyce serrula
Kallstroemiaparviflora,Kallstroemia parviflora
Astragalussp.,Astragalus sp.
Sphaeralceapolychroma,Sphaeralcea polychroma
Cryptanthacrassisepala,Cryptantha crassisepala
Phaceliacrenulata,Phacelia crenulata
Boutelouaeriopoda,Bouteloua eriopoda
Chamaesyceserpyllifolia,Chamaesyce serpyllifolia
Echinomastusintertextus,Echinomastus intertextus
Dasyochloapulchella,Dasyochloa pulchella
Aristidaadscensionis,Aristida adscensionis
Chamaesycealbomarginata,Chamaesyce albomarginata
Oenotheracaespitosa,Oenothera caespitosa
