namestogether,Species,species_under
Alliumtextile,Allium textile,Allium_textile
Artemisiafrigida,Artemisia frigida,Artemisia_frigida
Boutelouagracilis,Bouteloua gracilis,Bouteloua_gracilis
Carexeleocharis,Carex eleocharis,Carex_eleocharis
Cirsiumundulatum,Cirsium undulatum,Cirsium_undulatum
Comandraumbellata,Comandraum bellata,Comandraum_bellata
Erigeronpumilus,Erigeron pumilus,Erigeron_pumilus
Gauracoccinea,Gaura coccinea,Gaura_coccinea
Heterothecavillosa,Heterotheca villosa,Heterotheca_villosa
Koeleriapyramidata,Koeleria pyramidata,Koeleria_pyramidata
Lappularedowskii,Lappula redowskii,Lappula_redowskii
Lepidiumdensiflorum,Lepidium densiflorum,Lepidium_densiflorum
Lesquerellamontana,Lesquerella montana,Lesquerella_montana
Linariadalmatica,Linaria dalmatica,Linaria_dalmatica
Lygodesmiajuncea,Lygodesmia juncea,Lygodesmia_juncea
Mertensialanceolata,Mertensia lanceolata,Mertensia_lanceolata
Musineondivaricatum,Musineon divaricatum,Musineon_divaricatum
Pascopyrumsmithii,Pascopyrum smithii,Pascopyrum_smithii
Penstemonalbidus,Penstemon albidus,Penstemon_albidus
Phloxhoodii,Phlox hoodii,Phlox_hoodii
Plantagopatagonica,Plantago patagonica,Plantago_patagonica
Sphaeralceacoccinea,Sphaeralcea coccinea,Sphaeralcea_coccinea
Stipacomata,Stipa comata,Stipa_comata
Tragopogondubius,Tragopogon dubius,Tragopogon_dubius
Vulpiaoctoflora,Vulpiaocto flora,Vulpiaocto_flora
Achilleamillefolium,Achillea millefolium,Achillea_millefolium
Ambrosiapsilostachya,Ambrosia psilostachya,Ambrosia_psilostachya
Aristidapurpurea,Aristida purpurea,Aristida_purpurea
Boutelouacurtipendula,Bouteloua curtipendula,Bouteloua_curtipendula
Bromusjaponicus,Bromus japonicus,Bromus_japonicus
Buchloedactyloides,Buchloe dactyloides,Buchloe_dactyloides
Erysimumasperum,Erysimum asperum,Erysimum_asperum
Gutierreziasarothrae,Gutierrezia sarothrae,Gutierrezia_sarothrae
Liatrispunctata,Liatris punctata,Liatris_punctata
Medicagolupulina,Medicago lupulina,Medicago_lupulina
Melilotusofficinalis,Melilotus officinalis,Melilotus_officinalis
Oxalisstricta,Oxalis stricta,Oxalis_stricta
Poapratensis,Poa pratensis,Poa_pratensis
Ratibidacolumnifera,Ratibida columnifera,Ratibida_columnifera
Schizachyriumscoparium,Schizachyrium scoparium,Schizachyrium_scoparium
Amorphacanescens,Amorpha canescens,Amorpha_canescens
Andropogongerardii,Andropogon gerardii,Andropogon_gerardii
Boutelouaeriopoda,Bouteloua eriopoda,Bouteloua_eriopoda
Dasyochloapulchella,Dasyochloa pulchella,Dasyochloa_pulchella
